id,label,component,louvain_comm,fstgrdy_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core
hell,hell,1,2,3,11,1.3635373239831743,0.15975292847503808,0.00403770618879244,0.1597529284750381,0.1597529284750381,6
separate,separate,1,2,3,8,1.057753674700178,0.14990766862466615,0.0028400371691389564,0.14990766862466604,0.14990766862466604,6
feel,feel,1,7,3,19,2.236979483446673,0.24088874386159503,0.005227750996391265,0.24088874386159476,0.24088874386159476,9
sundai,sundai,1,1,1,5,0.6154256418156937,0.006352321716754995,0.0021514081889246407,0.0063523217167550435,0.0063523217167550435,3
station,station,1,1,1,8,1.0586389334590691,0.08494866878772095,0.002786255276992669,0.08494866878772092,0.08494866878772092,6
division,division,1,4,4,4,0.5792481585005105,0.026656046122001297,0.001866047990344424,0.026656046122001308,0.026656046122001308,4
body,body,1,2,2,4,0.46678204252125516,0.012376993285093549,0.0016330331591420835,0.012376993285093592,0.012376993285093592,4
beat,beat,1,1,1,6,0.896717287266024,0.04256554373484612,0.002657924199877027,0.042565543734846174,0.042565543734846174,4
trouble,trouble,1,6,2,2,0.2583577160726466,3.3906871066793204e-4,0.0014711192749571405,3.390687106679648e-4,3.390687106679648e-4,2
allow,allow,1,4,4,10,1.305535966426195,0.03405516785470217,0.0035950743778370214,0.034055167854702244,0.034055167854702244,6
japan,japan,1,8,6,3,0.9379094443631781,0.015739878911835384,0.002662200343232189,0.015739878911835408,0.015739878911835408,3
respect,respect,1,2,3,8,0.9225010881663432,0.12234067535699103,0.0024590155866301318,0.12234067535699099,0.12234067535699099,6
matter,matter,1,2,4,8,0.9080680531510311,0.03295963542758815,0.0031968314484659595,0.032959635427588216,0.032959635427588216,4
enemies,enemies,1,8,6,9,1.0677782633323454,0.08365705445935565,0.003151567435178209,0.08365705445935565,0.08365705445935565,5
night,night,1,1,1,12,1.5142824073987404,0.030483186669248135,0.00453780258387482,0.030483186669248298,0.030483186669248298,6
nation,nation,1,2,3,17,2.091526407371372,0.1841573592230551,0.004739686641536653,0.18415735922305512,0.18415735922305512,8
