id,component,louvain_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core,label
trust,1,2,4,0.552651116130543,0.00976039524279911,0.001414480962356244,0.009760395242799112,0.009760395242799112,4,trust
rate,1,3,22,3.1410086076431645,0.054952994533887516,0.005045370697287835,0.05495299453388758,0.05495299453388758,10,rate
east,1,3,7,1.3379106386411854,0.041574611406571114,0.0024695455703494114,0.041574611406571094,0.041574611406571094,5,east
home,1,6,51,7.041948093320612,0.2311371269216751,0.009978654882224073,0.2311371269216753,0.2311371269216753,12,home
promotion,1,3,13,1.9474758162587955,0.036479271497869795,0.0035236473199784916,0.036479271497869864,0.036479271497869864,7,promotion
police,1,5,11,1.695696689119063,0.05927738049689152,0.0031402924154258316,0.05927738049689148,0.05927738049689148,7,police
job,1,1,37,5.181051251471166,0.19665177758719218,0.007326466163120799,0.19665177758719224,0.19665177758719224,12,job
medic,1,5,5,0.8018118294153392,0.0026250855407491526,0.0021185690764980013,0.0026250855407491456,0.0026250855407491456,4,medic
die,1,2,14,1.8207943787068672,0.1194033897201148,0.002952165589164602,0.11940338972011474,0.11940338972011474,9,die
trade,1,1,9,1.1853045658279562,0.033508843437888514,0.0021013360362985814,0.03350884343788852,0.03350884343788852,8,trade
physical,1,1,28,3.5153890032306907,0.06349308670573611,0.0053397724211352434,0.06349308670573614,0.06349308670573614,11,physical
train,1,6,40,5.274750359264592,0.20688280978543297,0.007456342549635391,0.2068828097854332,0.2068828097854332,12,train
mechanic,1,3,20,2.8906702564515117,0.03688609511857493,0.004589294837773279,0.03688609511857497,0.03688609511857497,10,mechanic
age,1,1,15,2.046321443543641,0.06267883656592593,0.0033431442683609374,0.06267883656592602,0.06267883656592602,10,age
captain,1,3,6,0.8430883822434765,0.009431853335408443,0.0022107369957647255,0.009431853335408451,0.009431853335408451,5,captain
command,1,3,15,2.2627875200449066,0.04268520222482036,0.0040279333890925265,0.0426852022248205,0.0426852022248205,10,command
blood,1,2,15,1.9786165441084862,0.076278547259423,0.0033459618898763585,0.07627854725942299,0.07627854725942299,9,blood
chance,1,1,33,4.399901409330578,0.26018071283834493,0.006523033268224932,0.2601807128383448,0.2601807128383448,13,chance
seat,1,4,9,1.3934790968497421,0.042690901641799825,0.0029685924095833763,0.04269090164179989,0.04269090164179989,6,seat
citizen,1,2,16,2.250260879522672,0.12805861346350011,0.0040108053932222335,0.1280586134634999,0.1280586134634999,9,citizen
experi,1,3,17,2.346411260591895,0.05580781133616211,0.0036156409810683804,0.05580781133616222,0.05580781133616222,10,experi
land,1,2,9,1.1739999466499407,0.01920983287404479,0.0022945663649027287,0.019209832874044753,0.019209832874044753,7,land
god,1,2,23,2.981390577213857,0.15087397397789462,0.0049580166286980545,0.15087397397789462,0.15087397397789462,10,god
combat,1,1,29,3.7504216989102668,0.10627459537577293,0.005539455064260765,0.10627459537577308,0.10627459537577308,11,combat
washington,1,2,10,1.265593371286449,0.014407734166771763,0.002728149463761663,0.014407734166771729,0.014407734166771729,7,washington
opinion,1,7,7,1.030031492887283,0.009518101751130341,0.0025865356602154488,0.009518101751130327,0.009518101751130327,4,opinion
