source,target,weight
discrimination,lynch,0.1383050030824787
bus,color,0.13808468757798745
race,prove,0.13806083876754738
town,time,0.1379538386549377
separate,differ,0.13767853264742352
army,home,0.1375724120347788
white,lieutenant,0.13755018049823606
war,home,0.1374625742659278
camp,transfer,0.13734279614723105
color,white-man,0.13731936881044526
love,mind,0.13714851200345723
express,chance,0.13712959607270028
feel,mind,0.13703862185646443
home,mile,0.13702853785099656
negro,freedom,0.13701976754629322
democracy,nation,0.13701540706760523
force,black-man,0.13687353890043535
town,soldier,0.1367130467768135
town,mile,0.1365749803845264
color,matter,0.1365732708245147
opportunity,ability,0.13649854444883303
qualify,school,0.1364333149699561
freedom,die,0.13640476991898137
sundai,night,0.13638146220379133
branch,leader,0.136292661993373
week,past,0.136292661993373
country,hate,0.13611724148608317
race,nation,0.13583576043284556
democracy,word,0.13582534356371365
station,allow,0.1354264284350961
money,bui,0.1350725343475158
division,leader,0.13504845857900566
color,treat,0.13502557220263675
command,commissioned,0.1350247587029148
body,realize,0.13494100742282616
north,negro,0.13466916430591405
beat,police,0.1344400131238056
lord,love,0.13427791718503368
corp,volunteer,0.13427095954938673
trouble,punish,0.13427095954938673
plant,life,0.13421946093367634
white,low,0.13420207676058413
allow,leave,0.1341515008769131
civilian,soldier,0.13397338347246004
discrimination,allow,0.133890452798574
south,troop,0.13389041561029305
white,life,0.13387313560293082
fight,separate,0.13379841620286237
god,hell,0.1337084331536927
age,health,0.1336472132039284
war,treat,0.13360559171056138
win,white,0.1334974586722242
soldier,hard,0.1334831210269354
color,equal,0.13348193385910467
white,stop,0.1334599961485366
white,hell,0.1334599961485366
black-man,country,0.13330345301248156
white,human,0.1332490940976944
japan,kill,0.13324394466359335
washington,word,0.13316106078803108
army,time,0.1330910646435058
war,south,0.1329036793304393
win,negro,0.13265643052947515
respect,play,0.13258820049256215
opportunity,allow,0.132513369677646
white,fair,0.13248363195656704
home,walk,0.1323724380146357
negro,citizen,0.13231934954349064
white,feel,0.13230388450795194
