id,label,component,louvain_comm,fstgrdy_comm,deg_cent,wtd_deg_cent,eigen_cent,page_rank,auth_score,hub_score,k_core
home,home,1,7,4,27,3.823665559012208,0.5261162300478067,0.014981689117139419,0.526116230047807,0.526116230047807,7
promotion,promotion,1,3,3,6,0.9779580731560948,0.08712937200443653,0.004904022213958727,0.08712937200443657,0.08712937200443657,5
trade,trade,1,4,2,9,1.1853045658279562,0.1586035767072174,0.005685245738278794,0.15860357670721753,0.15860357670721753,5
physical,physical,1,4,1,22,2.735600261180933,0.44606508756236274,0.011188067385903784,0.4460650875623629,0.4460650875623629,7
train,train,1,7,4,23,3.220237977979244,0.516261218142987,0.013038903571200673,0.5162612181429874,0.5162612181429874,7
equal,equal,1,1,6,10,1.6312853315063496,0.22361098558874912,0.006504841366116282,0.22361098558874942,0.22361098558874942,7
military-police,military-police,1,6,5,9,1.239881418572503,0.10366397705847076,0.005910958538313871,0.10366397705847082,0.10366397705847082,6
experi,experi,1,6,5,17,2.346411260591895,0.3340484510937093,0.009750931544652322,0.3340484510937094,0.3340484510937094,7
opinion,opinion,1,8,1,2,0.3194594484250409,0.011490033232889761,0.002748888675976273,0.011490033232889725,0.011490033232889725,2
lose,lose,1,1,6,5,0.7596829489231318,0.1283965643470128,0.0035947804811286683,0.12839656434701308,0.12839656434701308,5
job,job,1,4,1,28,3.9178372493085853,0.7217978459622252,0.015255517730970013,0.7217978459622253,0.7217978459622253,7
south,south,1,1,6,8,1.7186909192995614,0.19681667412254986,0.006827491029304852,0.19681667412255002,0.19681667412255002,6
outfit,outfit,1,3,3,19,2.476769187598171,0.31662583530287575,0.010207464039491155,0.31662583530287614,0.31662583530287614,7
qualify,qualify,1,6,5,11,1.5838662101058434,0.25273626729940835,0.0068437980463687525,0.2527362672994088,0.2527362672994088,7
chance,chance,1,4,1,14,1.856299075658214,0.2928274303787698,0.008029617783051161,0.2928274303787697,0.2928274303787697,7
wife,wife,1,2,4,6,1.131741055907776,0.11371306705708904,0.005006216794649316,0.1137130670570892,0.1137130670570892,6
command,command,1,3,3,8,1.1319166716014912,0.10911837719984761,0.005800314518919077,0.10911837719984771,0.10911837719984771,6
limit,limit,1,4,1,19,2.6272222251178063,0.47523392311769175,0.010437127229613123,0.4752339231176928,0.4752339231176928,7
people,people,1,1,6,17,2.598979626308929,0.38097259724665333,0.009846978989550488,0.3809725972466538,0.3809725972466538,7
mechanic,mechanic,1,6,5,14,1.9870793348493074,0.24801950444009874,0.008508984443806517,0.2480195044400988,0.2480195044400988,7
transfer,transfer,1,4,1,10,1.497804390887571,0.2975431958279309,0.006198208451089876,0.29754319582793093,0.29754319582793093,7
condition,condition,1,4,1,7,0.9214083543337936,0.09830561264323279,0.00445041931541695,0.09830561264323277,0.09830561264323277,6
realize,realize,1,5,2,10,1.2908052778667534,0.15200259906951955,0.005881777037486574,0.15200259906951966,0.15200259906951966,6
