source,target,weight
ability,physical,0.11943702641801188
service,chance,0.11941009760232965
effort,enter,0.11932586525211641
time,mind,0.1191596614959767
line,field,0.1191088827615652
service,poor,0.11910480174072699
marry,live,0.11901220425204845
outfit,boy,0.11900951374902805
win,lot,0.118562342506073
limit,pay,0.11856178427733886
polit,deal,0.11856178427733886
send,fellow,0.11839475324505967
bad,poor,0.11833561075591932
home,live,0.11813638123114843
rate,ability,0.11801368355845071
pass,test,0.1179506266008473
corp,infantry,0.11786249670450162
air,infantry,0.11786249670450162
bus,run,0.11782943735952388
pass,soldier,0.11761472991559488
money,trade,0.11758768395789969
organ,wast,0.11751693516900495
office,outfit,0.11744228854255542
soldier,lot,0.11741480178216622
civilian,major,0.11729645558897148
ability,field,0.11725963184346949
south,color,0.11709631144464348
school,educate,0.11709631144464348
war,limit,0.1170907500532427
school,combat,0.11699676083186182
war,feel,0.11682636981953186
soldier,pay,0.11680664969843829
class,hold,0.11672855319831808
command,individu,0.11639116370114175
defense,job,0.11638889871651024
job,trade,0.11638889871651024
service,infantry,0.11616602910206072
basic,effort,0.11612407575546703
chance,hard,0.11587650177372202
civilian,field,0.11583192646389857
mind,deal,0.11576498506173126
day,boy,0.11573692685878961
people,treat,0.11570116317970848
organ,physical,0.11548656256284975
soldier,live,0.11531862532189162
time,bad,0.11521809546204936
duty,enter,0.11520360736188477
spend,post,0.11519831641249813
army,limit,0.11518130338499748
fight,fellow,0.11511039736449898
effort,care,0.11502659084017801
week,run,0.11481738101826129
service,send,0.11473515760907474
week,hard,0.11440242921600141
month,fellow,0.11433726723821792
military-police,company,0.11426489162479636
corp,fit,0.1141751971425818
plant,outfit,0.11410170530865058
war,plant,0.1140044422475275
train,month,0.11383553311923585
day,duty,0.11377288175605443
home,send,0.11369870130280925
service,office,0.113682748707444
train,handl,0.11361581545601471
money,hope,0.11359790803356978
transfer,combat,0.11359790803356978
basic,station,0.11357658095346083
private,noncom,0.11357658095346083
private,not,0.11357658095346083
treat,outfit,0.1133957008636359
month,send,0.11338952754257484
people,separate,0.11314403869238421
limit,effort,0.11312316698738874
field,serve,0.11310721433242411
fight,equal,0.11304081501068106
defense,farm,0.11292350397589763
polit,mind,0.11289807091931581
army,draft,0.11284689350657755
office,handl,0.11281875030259994
office,cooperate,0.11281875030259994
civilian,people,0.1127631001260766
office,ability,0.1127384662806405
wast,govern,0.11255218786672451
wrong,fellow,0.11246538502714183
take,fellow,0.11246538502714183
hold,run,0.11237109444162627
hold,leave,0.11237109444162627
fair,noncom,0.11224376182508186
station,time,0.1122340324823713
child,home,0.1120532217723767
class,serve,0.11192336606547053
ability,morale,0.1118879978487963
physical,infantry,0.11164495124821541
physical,tell,0.11164495124821541
corp,enlist,0.11164258894306149
train,station,0.11163666184327878
train,person,0.1115907898981951
line,effort,0.11144320343616641
bad,half,0.11144320343616641
month,chance,0.11143022679770981
outfit,half,0.11121108847853478
world,yr,0.11120500726488175
basic,pretty,0.11115985803400616
limit,time,0.11108873037228865
organ,talk,0.11098631281997703
week,post,0.11093988026560551
fight,person,0.11093664205550689
enlist,cooperate,0.11089901819597803
negro,class,0.11086457834889522
negro,trouble,0.11086457834889522
outfit,yr,0.11078003856581926
defense,draft,0.11075402097940634
pass,town,0.11072815106699734
time,wait,0.11067718660428877
rate,soldier,0.11063017082849913
experi,yr,0.11042665687663475
country,experi,0.11035011930397566
chance,give,0.11031153763038185
pay,half,0.1103021917653083
wrong,test,0.11019607843137255
test,take,0.11019607843137255
branch,pick,0.11007486477850167
civilian,military-police,0.1099072034646537
transfer,feel,0.10986570864884738
run,pretty,0.10984983608960906
guard,field,0.1097432947829697
sgt,field,0.1097432947829697
race,class,0.109693811328171
pass,company,0.10960494218049124
train,home,0.10952479110344142
field,hard,0.1094457608589896
train,organ,0.10941140227618594
fight,combat,0.10941100865301785
win,live,0.10940958028341785
food,civilian,0.10940441942156004
train,duty,0.1092714951525017
educate,boy,0.10921073194450663
soldier,fair,0.10911683722108192
time,lot,0.10889661721291903
pass,drill,0.10887088776163197
private,serve,0.1088626458740314
close,combat,0.10881518365352089
job,type,0.10876826914782801
mechanic,army,0.10870108042209922
army,force,0.10870108042209922
singl,family,0.10867474790992764
nation,trade,0.10867474790992764
negro,treat,0.10864031852653692
commissioned,time,0.10863267793142027
person,hold,0.10857165066584716
corp,life,0.10855623875797568
school,job,0.10850810874175718
wife,live,0.108497115114066
food,office,0.10826763537980663
eat,cloth,0.10814363705867681
job,soldier,0.10813959714612263
people,class,0.10807089264764917
people,realize,0.10807089264764917
guard,call,0.10791718097433206
ship,call,0.10791718097433206
wait,inspect,0.10785547776762452
pay,not,0.10784418291701393
family,furlough,0.10777183232196696
service,qualify,0.10774476378441525
life,mind,0.10774194602064238
unit,test,0.1076431534685363
white,white-man,0.10763206731142606
food,pretty,0.10759117910330424
lose,draft,0.10756721445175141
draft,trouble,0.10756721445175141
country,ship,0.10755530289532651
guard,cloth,0.10745162931671796
army,run,0.107353254573611
