source,target,weight,group
branch,army,0.13460033990973805,white
service,army,0.13456854618987557,white
civilian,money,0.13450379523449568,white
beat,police,0.1344400131238056,black
army,chance,0.13433446301322666,white
time,take,0.1342939056568707,white
lord,love,0.13427791718503368,black
corp,volunteer,0.13427095954938673,black
trouble,punish,0.13427095954938673,black
plant,life,0.13421946093367634,black
job,duty,0.13421373727549543,white
white,low,0.13420207676058413,black
allow,leave,0.1341515008769131,black
transfer,chance,0.13412066814172569,white
civilian,soldier,0.13397338347246004,black
discrimination,allow,0.133890452798574,black
south,troop,0.13389041561029305,black
white,life,0.13387313560293082,black
line,post,0.13382985127039762,white
fight,separate,0.13379841620286237,black
treat,noncom,0.13378945870697176,white
god,hell,0.1337084331536927,black
age,health,0.1336472132039284,black
war,treat,0.13360559171056138,black
field,type,0.13359907265077403,white
win,white,0.1334974586722242,black
soldier,hard,0.1334831210269354,black
color,equal,0.13348193385910467,black
white,stop,0.1334599961485366,black
white,hell,0.1334599961485366,black
singl,wife,0.13339573733188342,white
commissioned,company,0.13338593955441733,white
peace,world,0.13333580299911607,white
black-man,country,0.13330345301248156,black
home,boy,0.13327077778721205,white
white,human,0.1332490940976944,black
japan,kill,0.13324394466359335,black
washington,word,0.13316106078803108,black
army,time,0.1330910646435058,black
treat,town,0.1329898287598616,white
branch,enter,0.13294919928745674,white
school,chance,0.1329459538096011,white
war,south,0.1329036793304393,black
fair,leave,0.1326745325110065,white
win,negro,0.13265643052947515,black
trade,experi,0.13263992962865676,white
respect,play,0.13258820049256215,black
opportunity,allow,0.132513369677646,black
white,fair,0.13248363195656704,black
limit,physical,0.13237836560054153,white
home,walk,0.1323724380146357,black
pick,give,0.13233059331023608,white
negro,citizen,0.13231934954349064,black
white,feel,0.13230388450795194,black
pass,post,0.1321644013452693,white
discrimination,prejudice,0.1321319891919677,black
love,person,0.1321108742004264,black
war,deal,0.1320822245973578,white
commissioned,call,0.13203682909058914,white
town,transport,0.13200490242383323,black
combat,reason,0.13181201101424622,black
war,opportunity,0.13169460868179397,black
war,glad,0.13169460868179397,black
matter,woman,0.1316718016595965,black
north,bear,0.13166582518401315,black
sleep,hard,0.13165561018339222,white
corp,job,0.13156906667615934,white
air,job,0.13156906667615934,white
negro,discrimination,0.13152773938025966,black
